"AARONSBURG","PA",40.86,-77.39
"ABBEVILLE","AL",31.56,-85.25
"ABBEVILLE","GA",31.99,-83.30
"ABBEVILLE","LA",29.97,-92.12
"ABBEVILLE","MS",34.50,-89.50
"ABBEVILLE","SC",34.17,-82.37
"ABBOT","ME",45.18,-69.45
"ABBOTSFORD","WI",44.94,-90.31
"ABBOTTSTOWN","PA",39.88,-76.98
"ABBOTT","TX",31.88,-97.07
"ABBYVILLE","KS",37.97,-98.20
"ABELL","MD",38.25,-76.74
"ABERDEEN","ID",43.09,-112.84
"ABERDEEN","MD",39.51,-76.17
"ABERDEEN","MS",33.82,-88.55
"ABERDEEN","NC",35.13,-79.42
"ABERDEEN","OH",38.66,-83.76
"ABERDEEN PROVING GROUND","MD",39.47,-76.13
"ABERDEEN","SD",45.46,-98.48
"ABERDEEN","WA",46.88,-123.99
"ABERNATHY","TX",33.83,-101.84
"ABILENE","KS",38.92,-97.22
"ABILENE","TX",32.45,-99.73
"ABINGDON","IL",40.80,-90.40
"ABINGDON","MD",39.46,-76.27
"ABINGDON","VA",36.70,-81.96
"ABINGTON","MA",42.11,-70.95
"ABINGTON","PA",40.12,-75.12
"ABIQUIU","NM",36.20,-106.31
"ABITA SPRINGS","LA",30.47,-90.03
"ABRAMS","WI",44.78,-88.06
"ABSARAKA","ND",46.97,-97.39
"ABSAROKEE","MT",45.50,-109.56
"ABSECON","NJ",39.42,-74.49
"ACAMPO","CA",38.19,-121.25
"ACCIDENT","MD",39.62,-79.32
"ACCOKEEK","MD",38.67,-77.01
"ACCOMAC","VA",37.71,-75.66
"ACCORD","NY",41.80,-74.23
"ACKERLY","TX",32.52,-101.71
"ACKERMAN","MS",33.31,-89.17
"ACKLEY","IA",42.55,-93.05
"ACKWORTH","IA",41.36,-93.47
"ACME","LA",31.25,-91.76
"ACME","PA",40.09,-79.48
"ACME","WA",48.70,-122.19
"ACRA","NY",42.33,-74.09
"ACTON","CA",34.49,-118.22
"ACTON","MA",42.48,-71.46
"ACTON","ME",43.53,-70.91
"ACTON","MT",45.98,-108.68
"ACUSHNET","MA",41.68,-70.90
"ACWORTH","GA",34.05,-84.67
"ACWORTH","NH",43.21,-72.29
"ADAH","PA",39.88,-79.89
"ADAIR","IA",41.50,-94.64
"ADAIR","IL",40.41,-90.50
"ADAIR","OK",36.43,-95.26
"ADAIRSVILLE","GA",34.36,-84.91
"ADAIRVILLE","KY",36.66,-86.85
"ADAMANT","VT",44.35,-72.50
"ADA","MI",42.95,-85.48
"ADA","MN",47.29,-96.51
"ADAMSBURG","PA",40.31,-79.65
"ADAMS CENTER","NY",43.85,-75.99
"ADAMS","KY",38.00,-82.71
"ADAMS","MA",42.62,-73.11
"ADAMS","MN",43.56,-92.71
"ADAMS","ND",48.41,-98.07
"ADAMS","NE",40.45,-96.51
"ADAMS","NY",43.80,-76.02
"ADAMS","OR",45.71,-118.48
"ADAMS RUN","SC",32.72,-80.34
"ADAMS","TN",36.58,-87.06
"ADAMSTOWN","MD",39.29,-77.45
"ADAMSVILLE","AL",33.59,-86.95
"ADAMSVILLE","OH",40.06,-81.88
"ADAMSVILLE","PA",41.50,-80.37
"ADAMSVILLE","TN",35.23,-88.38
"ADAMS","WI",43.95,-89.81
"ADA","OH",40.76,-83.82
"ADA","OK",34.77,-96.66
"ADDIEVILLE","IL",38.39,-89.48
"ADDIS","LA",30.35,-91.26
"ADDISON","AL",34.19,-87.17
"ADDISON","IL",41.93,-88.00
"ADDISON","ME",45.08,-67.46
"ADDISON","MI",41.98,-84.34
"ADDISON","NY",42.10,-77.23
"ADDISON","PA",39.74,-79.33
"ADDISON","TX",32.96,-96.83
"ADDY","WA",48.32,-117.91
"ADELANTO","CA",34.66,-117.51
"ADEL","GA",31.13,-83.42
"ADEL","IA",41.61,-94.02
"ADELL","WI",43.62,-87.94
"ADENA","OH",40.21,-80.87
"ADGER","AL",33.42,-87.19
"ADIN","CA",41.15,-120.89
"ADIRONDACK","NY",43.72,-73.77
"ADJUNTAS","PR",18.16,-66.72
"ADKINS","TX",29.37,-98.25
"ADMIRE","KS",38.64,-96.10
"ADOLPH","MN",46.84,-92.22
"ADOLPHUS","KY",36.67,-86.27
"ADONA","AR",35.04,-92.89
"ADRIAN","GA",32.52,-82.59
"ADRIAN","MI",41.89,-84.04
"ADRIAN","MN",43.63,-95.93
"ADRIAN","MO",38.39,-94.35
"ADRIAN","OR",43.59,-117.10
"ADRIAN","PA",40.90,-79.50
"ADRIAN","TX",35.27,-102.66
"ADRIAN","WV",38.91,-80.30
"ADVANCE","MO",37.10,-89.91
"ADVANCE","NC",35.93,-80.40
"ADVENT","WV",38.62,-81.56
"AFTON","IA",41.02,-94.19
"AFTON","MI",45.31,-84.45
"AFTON","MN",44.90,-92.81
"AFTON","NY",42.22,-75.52
"AFTON","OK",36.69,-94.96
"AFTON","TN",36.21,-82.74
"AFTON","TX",33.76,-100.81
"AFTON","VA",38.03,-78.83
"AFTON","WY",42.72,-110.92
"AGANA HEIGHTS","GU",13.46,144.74
"AGAR","SD",44.83,-100.07
"AGATE","CO",39.47,-103.95
"AGATE","ND",48.57,-99.66
"AGAWAM","MA",42.06,-72.61
"AGENCY","IA",40.99,-92.30
"AGENCY","MO",39.65,-94.74
"AGENDA","KS",39.70,-97.43
"AGNESS","OR",42.59,-124.01
"AGOURA HILLS","CA",34.12,-118.76
"AGRA","KS",39.76,-99.11
"AGRA","OK",35.89,-96.87
"AGUADA","PR",18.38,-67.18
"AGUADILLA","PR",18.43,-67.15
"AGUA DULCE","TX",27.78,-97.90
"AGUANGA","CA",33.50,-116.81
"AGUAS BUENAS","PR",18.25,-66.10
"AGUILAR","CO",37.40,-104.65
"AGUIRRE","PR",17.96,-66.22
"AHOSKIE","NC",36.28,-76.98
"AHSAHKA","ID",46.52,-116.30
"AHWAHNEE","CA",37.39,-119.73
"AIBONITO","PR",18.14,-66.26
"AIEA","HI",21.38,-157.92
"AIKEN","SC",33.54,-81.72
"AILEY","GA",32.18,-82.57
"AIMWELL","LA",31.75,-91.99
"AINSWORTH","IA",41.29,-91.55
"AINSWORTH","NE",42.54,-99.85
"AIRVILLE","PA",39.82,-76.39
"AIRWAY HEIGHTS","WA",47.64,-117.56
"AITKIN","MN",46.53,-93.71
"AJO","AZ",32.15,-112.62
"AKELEY","MN",47.00,-94.72
"AKERS","LA",30.38,-90.40
"AKRON","AL",32.87,-87.73
"AKRON","CO",40.16,-103.21
"AKRON","IA",42.82,-96.55
"AKRON","IN",41.03,-86.02
"AKRON","MI",43.56,-83.51
"AKRON","NY",43.01,-78.49
"AKRON","OH",41.08,-81.52
"AKRON","PA",40.15,-76.20
"ALABASTER","AL",33.22,-86.82
"ALACHUA","FL",29.77,-82.48
"ALADDIN","WY",44.63,-104.18
"ALAMEDA","CA",37.73,-122.24
"ALAMO","CA",37.84,-121.97
"ALAMO","GA",32.14,-82.77
"ALAMOGORDO","NM",32.88,-105.95
"ALAMO","ND",48.58,-103.46
"ALAMO","NV",37.27,-115.20
"ALAMOSA","CO",37.46,-105.87
"ALAMO","TN",35.78,-89.11
"ALAMO","TX",26.18,-98.11
"ALANSON","MI",45.44,-84.78
"ALAPAHA","GA",31.38,-83.22
"ALBANY","CA",37.88,-122.29
"ALBANY","GA",31.52,-84.30
"ALBANY","IL",41.78,-90.21
"ALBANY","IN",40.30,-85.23
"ALBANY","KY",36.69,-85.13
"ALBANY","LA",30.52,-90.61
"ALBANY","MN",45.63,-94.56
"ALBANY","MO",40.24,-94.33
"ALBANY","NY",42.66,-73.79
"ALBANY","OH",39.22,-82.19
"ALBANY","OR",44.62,-123.13
"ALBANY","TX",32.72,-99.29
"ALBANY","VT",44.73,-72.38
"ALBANY","WI",42.70,-89.43
"ALBA","PA",41.70,-76.82
"ALBA","TX",32.79,-95.63
"ALBEMARLE","NC",35.36,-80.19
"ALBERS","IL",38.54,-89.61
"ALBERTA","AL",32.23,-87.41
"ALBERTA","MN",45.57,-96.05
"ALBERTA","VA",36.86,-77.88
"ALBERT CITY","IA",42.78,-94.94
"ALBERT","KS",38.45,-99.01
"ALBERT LEA","MN",43.65,-93.36
"ALBERTON","MT",46.86,-114.59
"ALBERTSON","NC",35.11,-77.85
"ALBERTSON","NY",40.77,-73.64
"ALBERTVILLE","AL",34.26,-86.20
"ALBERTVILLE","MN",45.23,-93.66
"ALBIA","IA",41.02,-92.80
"ALBIN","WY",41.41,-104.10
"ALBION","CA",39.21,-123.69
"ALBION","IA",42.11,-92.98
"ALBION","ID",42.38,-113.60
"ALBION","IL",38.37,-88.05
"ALBION","IN",41.39,-85.41
"ALBION","ME",44.53,-69.44
"ALBION","MI",42.24,-84.75
"ALBION","NE",41.68,-98.00
"ALBION","NY",43.24,-78.18
"ALBION","PA",41.88,-80.36
"ALBORN","MN",46.97,-92.57
"ALBRIGHTSVILLE","PA",40.96,-75.61
"ALBRIGHT","WV",39.49,-79.63
"ALBUQUERQUE","NM",35.11,-106.62
"ALBURGH","VT",44.97,-73.30
"ALBURNETT","IA",42.14,-91.61
"ALBURTIS","PA",40.50,-75.60
"ALCESTER","SD",43.02,-96.62
"ALCOA","TN",35.79,-83.97
"ALCOLU","SC",33.76,-80.15
"ALCOVA","WY",42.55,-106.72
"ALCOVE","NY",42.45,-74.03
"ALDA","NE",40.86,-98.46
"ALDEN","IA",42.51,-93.37
